FullDate,DateKey,Year,Quarter,YearQuarter,MonthNumber,MonthName,MonthShort,YearMonth,DayOfMonth,DayOfWeek,IsWeekend
2026-09-09 00:00:00+00:00,20260909,2026,Q3,2026-Q3,9,September,Sep,2026-09,9,Wednesday,0
2026-09-10 00:00:00+00:00,20260910,2026,Q3,2026-Q3,9,September,Sep,2026-09,10,Thursday,0
2026-09-11 00:00:00+00:00,20260911,2026,Q3,2026-Q3,9,September,Sep,2026-09,11,Friday,0
2026-09-12 00:00:00+00:00,20260912,2026,Q3,2026-Q3,9,September,Sep,2026-09,12,Saturday,1
2026-09-13 00:00:00+00:00,20260913,2026,Q3,2026-Q3,9,September,Sep,2026-09,13,Sunday,1
2026-09-14 00:00:00+00:00,20260914,2026,Q3,2026-Q3,9,September,Sep,2026-09,14,Monday,0
2026-09-15 00:00:00+00:00,20260915,2026,Q3,2026-Q3,9,September,Sep,2026-09,15,Tuesday,0
2026-09-16 00:00:00+00:00,20260916,2026,Q3,2026-Q3,9,September,Sep,2026-09,16,Wednesday,0
2026-09-17 00:00:00+00:00,20260917,2026,Q3,2026-Q3,9,September,Sep,2026-09,17,Thursday,0
2026-09-18 00:00:00+00:00,20260918,2026,Q3,2026-Q3,9,September,Sep,2026-09,18,Friday,0
2026-09-19 00:00:00+00:00,20260919,2026,Q3,2026-Q3,9,September,Sep,2026-09,19,Saturday,1
2026-09-20 00:00:00+00:00,20260920,2026,Q3,2026-Q3,9,September,Sep,2026-09,20,Sunday,1
2026-09-21 00:00:00+00:00,20260921,2026,Q3,2026-Q3,9,September,Sep,2026-09,21,Monday,0
2026-09-22 00:00:00+00:00,20260922,2026,Q3,2026-Q3,9,September,Sep,2026-09,22,Tuesday,0
2026-09-23 00:00:00+00:00,20260923,2026,Q3,2026-Q3,9,September,Sep,2026-09,23,Wednesday,0
2026-09-24 00:00:00+00:00,20260924,2026,Q3,2026-Q3,9,September,Sep,2026-09,24,Thursday,0
2026-09-25 00:00:00+00:00,20260925,2026,Q3,2026-Q3,9,September,Sep,2026-09,25,Friday,0
2026-09-26 00:00:00+00:00,20260926,2026,Q3,2026-Q3,9,September,Sep,2026-09,26,Saturday,1
2026-09-27 00:00:00+00:00,20260927,2026,Q3,2026-Q3,9,September,Sep,2026-09,27,Sunday,1
2026-09-28 00:00:00+00:00,20260928,2026,Q3,2026-Q3,9,September,Sep,2026-09,28,Monday,0
2026-09-29 00:00:00+00:00,20260929,2026,Q3,2026-Q3,9,September,Sep,2026-09,29,Tuesday,0
2026-09-30 00:00:00+00:00,20260930,2026,Q3,2026-Q3,9,September,Sep,2026-09,30,Wednesday,0
2026-10-01 00:00:00+00:00,20261001,2026,Q4,2026-Q4,10,October,Oct,2026-10,1,Thursday,0
2026-10-02 00:00:00+00:00,20261002,2026,Q4,2026-Q4,10,October,Oct,2026-10,2,Friday,0
2026-10-03 00:00:00+00:00,20261003,2026,Q4,2026-Q4,10,October,Oct,2026-10,3,Saturday,1
2026-10-04 00:00:00+00:00,20261004,2026,Q4,2026-Q4,10,October,Oct,2026-10,4,Sunday,1
2026-10-05 00:00:00+00:00,20261005,2026,Q4,2026-Q4,10,October,Oct,2026-10,5,Monday,0
2026-10-06 00:00:00+00:00,20261006,2026,Q4,2026-Q4,10,October,Oct,2026-10,6,Tuesday,0
2026-10-07 00:00:00+00:00,20261007,2026,Q4,2026-Q4,10,October,Oct,2026-10,7,Wednesday,0
2026-10-08 00:00:00+00:00,20261008,2026,Q4,2026-Q4,10,October,Oct,2026-10,8,Thursday,0
